uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
222af9fd30,2020-11-27T14:13:04Z,2020-11-27T14:15:33Z,Agree,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree
3245b5a2b5,2020-11-26T09:30:14Z,2020-11-26T09:31:03Z,Disagree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
8a74b533e8,2020-11-26T09:15:32Z,2020-11-26T09:16:23Z,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
3887ca7da6,2020-11-26T09:14:07Z,2020-11-26T09:15:05Z,Agree,Disagree,Agree,Strongly agree,Somewhat disagree,Disagree,Strongly agree
fd03ccfcc2,2020-11-26T09:15:06Z,2020-11-26T09:16:07Z,Disagree,Agree,Somewhat agree,Disagree,Strongly disagree,Agree,Strongly agree
8c51b6eb65,2020-11-27T09:19:38Z,2020-11-27T09:21:05Z,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
3f92133e4a,2020-11-27T09:18:21Z,2020-11-27T09:19:22Z,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly agree
06e5c36a6a,2020-11-27T11:12:51Z,2020-11-27T11:14:16Z,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
c6eb3ebb5c,2020-11-26T11:21:05Z,2020-11-26T11:23:18Z,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Somewhat agree
9b479a21db,2020-11-26T09:14:04Z,2020-11-26T09:17:17Z,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Agree
6689a8f778,2020-11-26T14:23:09Z,2020-11-26T14:23:45Z,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree
